,Gross domestic product 2014,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 17,419,000 ",,,,,
CHN,2,,China," 10,360,105 ",,,,,
JPN,3,,Japan," 4,601,461 ",,,,,
DEU,4,,Germany," 3,852,556 ",,,,,
GBR,5,,United Kingdom," 2,941,886 ",,,,,
FRA,6,,France," 2,829,192 ",,,,,
BRA,7,,Brazil," 2,346,118 ",,,,,
ITA,8,,Italy," 2,144,338 ",,,,,
IND,9,,India," 2,066,902 ",,,,,
RUS,10,,Russian Federation," 1,860,598 ",a,,,,
CAN,11,,Canada," 1,786,655 ",,,,,
AUS,12,,Australia," 1,453,770 ",,,,,
KOR,13,,"Korea, Rep."," 1,410,383 ",,,,,
ESP,14,,Spain," 1,404,307 ",,,,,
MEX,15,,Mexico," 1,282,720 ",,,,,
IDN,16,,Indonesia," 888,538 ",,,,,
NLD,17,,Netherlands," 869,508 ",,,,,
TUR,18,,Turkey," 799,535 ",,,,,
SAU,19,,Saudi Arabia," 746,249 ",,,,,
CHE,20,,Switzerland," 685,434 ",,,,,
SWE,21,,Sweden," 570,591 ",,,,,
NGA,22,,Nigeria," 568,508 ",,,,,
POL,23,,Poland," 548,003 ",,,,,
ARG,24,,Argentina," 540,197 ",,,,,
BEL,25,,Belgium," 533,383 ",,,,,
VEN,26,,"Venezuela, RB"," 509,964 ",,,,,
NOR,27,,Norway," 500,103 ",,,,,
AUT,28,,Austria," 436,344 ",,,,,
IRN,29,,"Iran, Islamic Rep."," 415,339 ",,,,,
ARE,30,,United Arab Emirates," 401,647 ",,,,,
COL,31,,Colombia," 377,740 ",,,,,
THA,32,,Thailand," 373,804 ",,,,,
ZAF,33,,South Africa," 349,817 ",,,,,
DNK,34,,Denmark," 341,952 ",,,,,
MYS,35,,Malaysia," 326,933 ",,,,,
SGP,36,,Singapore," 307,872 ",,,,,
ISR,37,,Israel," 304,226 ",,,,,
HKG,38,,"Hong Kong SAR, China"," 290,896 ",,,,,
EGY,39,,"Egypt, Arab Rep."," 286,538 ",,,,,
PHL,40,,Philippines," 284,582 ",,,,,
FIN,41,,Finland," 270,674 ",,,,,
CHL,42,,Chile," 258,062 ",,,,,
PAK,43,,Pakistan," 246,876 ",,,,,
IRL,44,,Ireland," 245,921 ",,,,,
GRC,45,,Greece," 237,592 ",,,,,
PRT,46,,Portugal," 229,584 ",,,,,
IRQ,47,,Iraq," 220,506 ",,,,,
DZA,48,,Algeria," 214,063 ",,,,,
KAZ,49,,Kazakhstan," 212,248 ",,,,,
QAT,50,,Qatar," 211,817 ",,,,,
CZE,51,,Czech Republic," 205,523 ",,,,,
PER,52,,Peru," 202,903 ",,,,,
ROM,53,,Romania," 199,044 ",,,,,
NZL,54,,New Zealand," 188,385 ",,,,,
VNM,55,,Vietnam," 186,205 ",,,,,
KWT,56,,Kuwait," 175,827 ",,,,,
BGD,57,,Bangladesh," 173,819 ",,,,,
HUN,58,,Hungary," 137,104 ",,,,,
UKR,59,,Ukraine," 131,805 ",a,,,,
AGO,60,,Angola," 131,401 ",,,,,
MAR,61,,Morocco," 107,005 ",b,,,,
PRI,62,,Puerto Rico," 103,135 ",,,,,
ECU,63,,Ecuador," 100,543 ",,,,,
SVK,64,,Slovak Republic," 99,790 ",,,,,
OMN,65,,Oman," 81,797 ",,,,,
CUB,66,,Cuba," 77,150 ",,,,,
BLR,67,,Belarus," 76,139 ",,,,,
AZE,68,,Azerbaijan," 75,198 ",,,,,
LKA,69,,Sri Lanka," 74,941 ",,,,,
SDN,70,,Sudan," 73,815 ",,,,,
MMR,71,,Myanmar," 64,330 ",,,,,
DOM,72,,Dominican Republic," 63,969 ",,,,,
UZB,73,,Uzbekistan," 62,644 ",,,,,
KEN,74,,Kenya," 60,937 ",,,,,
LUX,75,,Luxembourg," 60,131 ",,,,,
GTM,76,,Guatemala," 58,728 ",,,,,
URY,77,,Uruguay," 57,471 ",,,,,
HRV,78,,Croatia," 57,223 ",,,,,
BGR,79,,Bulgaria," 55,735 ",,,,,
MAC,80,,"Macao SAR, China"," 55,502 ",,,,,
ETH,81,,Ethiopia," 54,798 ",,,,,
CRI,82,,Costa Rica," 49,553 ",,,,,
SVN,83,,Slovenia," 49,416 ",,,,,
TZA,84,,Tanzania," 49,184 ",c,,,,
LTU,85,,Lithuania," 48,172 ",,,,,
TKM,86,,Turkmenistan," 47,932 ",,,,,
TUN,87,,Tunisia," 46,995 ",,,,,
PAN,88,,Panama," 46,213 ",,,,,
LBN,89,,Lebanon," 45,731 ",,,,,
SRB,90,,Serbia," 43,866 ",,,,,
LBY,91,,Libya," 41,119 ",,,,,
GHA,92,,Ghana," 38,648 ",,,,,
YEM,93,,"Yemen, Rep."," 35,955 ",,,,,
JOR,94,,Jordan," 35,827 ",,,,,
CIV,95,,Côte d'Ivoire," 34,254 ",,,,,
BOL,96,,Bolivia," 34,176 ",,,,,
BHR,97,,Bahrain," 33,869 ",,,,,
ZAR,98,,"Congo, Dem. Rep."," 32,962 ",,,,,
CMR,99,,Cameroon," 32,549 ",,,,,
LVA,100,,Latvia," 31,921 ",,,,,
PRY,101,,Paraguay," 30,985 ",,,,,
ZMB,102,,Zambia," 27,066 ",,,,,
UGA,103,,Uganda," 26,312 ",,,,,
EST,104,,Estonia," 25,905 ",,,,,
SLV,105,,El Salvador," 25,220 ",,,,,
TTO,106,,Trinidad and Tobago," 24,434 ",,,,,
CYP,107,,Cyprus," 23,226 ",d,,,,
AFG,108,,Afghanistan," 20,842 ",,,,,
NPL,109,,Nepal," 19,636 ",,,,,
HND,110,,Honduras," 19,385 ",,,,,
