Domain1,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QD,Crops processed,1,Armenia,5510,Production,564,Wine,2013,6422,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2013,18000,F,FAO estimate
QD,Crops processed,4,Algeria,5510,Production,564,Wine,2013,49800,F,FAO estimate
QD,Crops processed,9,Argentina,5510,Production,564,Wine,2013,1498400,*,Unofficial figure
QD,Crops processed,10,Australia,5510,Production,564,Wine,2013,1231000,,Official data
QD,Crops processed,11,Austria,5510,Production,564,Wine,2013,239195,*,Unofficial figure
QD,Crops processed,19,Bolivia (Plurinational State of),5510,Production,564,Wine,2013,8389,*,Unofficial figure
QD,Crops processed,21,Brazil,5510,Production,564,Wine,2013,273100,*,Unofficial figure
QD,Crops processed,27,Bulgaria,5510,Production,564,Wine,2013,130500,,Official data
QD,Crops processed,33,Canada,5510,Production,564,Wine,2013,47376,Fc,Calculated data
QD,Crops processed,40,Chile,5510,Production,564,Wine,2013,1832000,*,Unofficial figure
QD,Crops processed,41,"China, mainland",5510,Production,564,Wine,2013,1700000,F,FAO estimate
QD,Crops processed,49,Cuba,5510,Production,564,Wine,2013,11620,,Official data
QD,Crops processed,50,Cyprus,5510,Production,564,Wine,2013,11183,,Official data
QD,Crops processed,52,Azerbaijan,5510,Production,564,Wine,2013,7874,,Official data
QD,Crops processed,57,Belarus,5510,Production,564,Wine,2013,28150,,Official data
QD,Crops processed,59,Egypt,5510,Production,564,Wine,2013,4500,F,FAO estimate
QD,Crops processed,63,Estonia,5510,Production,564,Wine,2013,0,F,FAO estimate
QD,Crops processed,68,France,5510,Production,564,Wine,2013,4293466,,Official data
QD,Crops processed,73,Georgia,5510,Production,564,Wine,2013,98800,*,Unofficial figure
QD,Crops processed,79,Germany,5510,Production,564,Wine,2013,840900,,Official data
QD,Crops processed,80,Bosnia and Herzegovina,5510,Production,564,Wine,2013,4163,,Official data
QD,Crops processed,84,Greece,5510,Production,564,Wine,2013,311530,,Official data
QD,Crops processed,97,Hungary,5510,Production,564,Wine,2013,261800,,Official data
QD,Crops processed,98,Croatia,5510,Production,564,Wine,2013,46000,F,FAO estimate
QD,Crops processed,105,Israel,5510,Production,564,Wine,2013,5200,F,FAO estimate
QD,Crops processed,106,Italy,5510,Production,564,Wine,2013,4107370,,Official data
QD,Crops processed,108,Kazakhstan,5510,Production,564,Wine,2013,20902,,Official data
QD,Crops processed,110,Japan,5510,Production,564,Wine,2013,80000,F,FAO estimate
QD,Crops processed,112,Jordan,5510,Production,564,Wine,2013,650,F,FAO estimate
QD,Crops processed,113,Kyrgyzstan,5510,Production,564,Wine,2013,1752,,Official data
QD,Crops processed,119,Latvia,5510,Production,564,Wine,2013,2200,F,FAO estimate
QD,Crops processed,121,Lebanon,5510,Production,564,Wine,2013,15000,F,FAO estimate
QD,Crops processed,124,Libya,5510,Production,564,Wine,2013,0,M,Data not available
QD,Crops processed,125,Liechtenstein,5510,Production,564,Wine,2013,63,,Official data
QD,Crops processed,126,Lithuania,5510,Production,564,Wine,2013,5743,,Official data
QD,Crops processed,129,Madagascar,5510,Production,564,Wine,2013,8350,F,FAO estimate
QD,Crops processed,134,Malta,5510,Production,564,Wine,2013,2450,Fc,Calculated data
QD,Crops processed,138,Mexico,5510,Production,564,Wine,2013,17951,,Official data
QD,Crops processed,143,Morocco,5510,Production,564,Wine,2013,34500,F,FAO estimate
QD,Crops processed,146,Republic of Moldova,5510,Production,564,Wine,2013,120104,,Official data
